0:00:00.000000,0.0234375,-0.0234375,0.6796875
0:00:03.358000,-0.7734375,-0.90625,3.992188
0:00:03.378000,-1.320313,-1.390625,3.992188
0:00:03.398000,-2.007813,-1.484375,3.375
0:00:03.418000,-2.507813,-1.570313,2.375
0:00:03.438000,-2.976563,-1.734375,1.335938
0:00:03.458000,-3.070313,-1.53125,0.3828125
0:00:03.478000,-2.90625,-1.6875,0.0390625
0:00:03.498000,-4,-4,3.109375
0:00:03.518000,-4,-1.578125,0.453125
0:00:03.538000,-0.6640625,-0.2734375,1.03125
0:00:03.558000,0.0390625,0.0390625,0.921875
0:00:03.578000,0.03125,-0.046875,0.6015625
0:00:03.598000,0.046875,-0.1171875,0.546875
0:00:03.618000,0.0078125,-0.0703125,0.6328125
0:00:05.010000,0.0390625,-0.0390625,0.6796875
0:00:05.030000,0.03125,-0.0234375,0.671875
0:00:05.050000,0.0390625,-0.03125,0.6796875
0:00:05.070000,0.0390625,-0.03125,0.6796875
0:00:05.090000,0.0234375,-0.046875,0.71875
0:00:05.110000,0.0703125,0.015625,1.054688
0:00:05.130000,0.140625,-0.1484375,1.523438
0:00:05.150000,-0.125,-0.234375,1.523438
0:00:05.170000,-0.3046875,-0.171875,1.679688
0:00:05.190000,-1.914063,-1.359375,1
0:00:05.210000,-3.03125,-2.1875,1.054688
0:00:05.230000,-2.671875,-1.671875,0.6328125
0:00:05.250000,-2.71875,-1.53125,1.078125
0:00:05.270000,-2.171875,-1.132813,1.742188
0:00:05.290000,-1.539063,-0.90625,2.367188
0:00:05.310000,-1.023438,-0.9296875,2.96875
0:00:05.330000,-0.578125,-0.75,3.296875
0:00:05.350000,-0.5078125,-0.421875,3.304688
0:00:05.370000,-0.625,-0.140625,3.265625
0:00:05.390000,-0.7734375,-0.140625,3.109375
0:00:05.398000,-0.578125,-0.5078125,3.078125
0:00:05.418000,-0.3046875,-0.7109375,2.867188
0:00:05.438000,-0.1796875,-0.40625,2.429688
0:00:05.458000,-0.25,-0.3125,2.140625
0:00:05.478000,-0.1875,-0.3671875,1.859375
0:00:05.498000,0.203125,-0.453125,1.703125
0:00:05.518000,0.859375,-0.421875,1.523438
0:00:05.538000,1.617188,-0.1640625,1.21875
0:00:05.558000,2.34375,0.328125,0.828125
0:00:05.578000,3.09375,1.148438,1.085938
0:00:05.598000,3.992188,1.789063,0.3984375
0:00:05.618000,3.296875,0.9609375,-0.046875
0:00:05.638000,1.453125,0.53125,-0.2421875
0:00:05.658000,1.921875,0.8828125,-0.4921875
0:00:05.678000,1.835938,0.3515625,0.234375
0:00:05.698000,1.570313,0.3515625,0.734375
0:00:05.718000,1.40625,0.296875,1.320313
0:00:05.738000,1.1875,0.2578125,1.835938
0:00:05.758000,1.039063,-0.0078125,2.375
0:00:05.778000,0.8046875,-0.40625,3.125
0:00:05.806000,0.5234375,-0.34375,3.835938
0:00:05.826000,0.171875,-0.2734375,3.992188
0:00:05.846000,-0.3359375,-0.46875,3.992188
0:00:05.866000,-0.828125,-0.6015625,3.992188
0:00:05.886000,-1.257813,-0.7890625,3.953125
0:00:05.906000,-1.796875,-1.21875,3.445313
0:00:05.926000,-2.3125,-1.5625,2.671875
0:00:05.946000,-2.679688,-1.671875,1.882813
0:00:05.966000,-2.765625,-1.414063,1.078125
0:00:05.986000,-2.851563,-1.570313,0.671875
0:00:06.006000,-2.445313,-1.601563,0.7578125
0:00:06.026000,-1.578125,-0.8671875,1.179688
0:00:06.046000,-1.507813,0.8359375,1.335938
0:00:06.066000,-2.03125,-1.726563,1.1875
0:00:06.086000,-0.1171875,-0.171875,0.796875
0:00:06.106000,0.1171875,0.1015625,0.859375
0:00:06.126000,-0.0234375,-0.078125,0.6171875
0:00:06.146000,0.015625,-0.1484375,0.4453125
0:00:06.166000,0.0234375,-0.0546875,0.65625
0:00:06.186000,0.046875,0,0.734375
0:00:06.223000,0.03125,-0.015625,0.6953125
0:00:06.243000,0.03125,-0.0234375,0.6796875
0:00:06.263000,0.03125,-0.015625,0.6796875
0:00:06.283000,0.0234375,-0.015625,0.671875
0:00:06.303000,0.03125,-0.0078125,0.6953125
0:00:06.323000,0.0234375,-0.0234375,0.6640625
0:00:06.343000,0.0234375,-0.0234375,0.6484375
0:00:06.363000,0.0234375,-0.0234375,0.6640625
0:00:06.383000,0.0234375,-0.015625,0.671875
0:00:06.403000,0.0234375,-0.0234375,0.65625
0:00:06.423000,0.0234375,-0.0234375,0.6640625
0:00:06.443000,0.03125,-0.0234375,0.6640625
0:00:06.463000,0.0234375,-0.015625,0.6640625
0:00:06.483000,0.0234375,-0.0078125,0.6640625
0:00:06.503000,0.0234375,-0.015625,0.6640625
0:00:06.523000,0.0234375,-0.015625,0.6640625
0:00:06.543000,0.0234375,-0.0234375,0.6640625
0:00:06.563000,0.0234375,-0.015625,0.671875
0:00:06.583000,0.0234375,-0.015625,0.671875
0:00:06.603000,0.0234375,-0.015625,0.6640625
0:00:06.623000,0.0234375,-0.0078125,0.6640625
0:00:06.643000,0.0234375,-0.015625,0.671875
0:00:06.663000,0.0234375,-0.015625,0.671875
0:00:06.683000,0.03125,-0.015625,0.671875
0:00:06.703000,0.0234375,-0.0234375,0.671875
0:00:06.723000,0.0234375,-0.015625,0.6640625
0:00:06.743000,0.03125,-0.015625,0.6640625
0:00:06.763000,0.0234375,-0.015625,0.6640625
0:00:06.783000,0.0234375,-0.0078125,0.6640625
0:00:06.803000,0.03125,-0.015625,0.65625
0:00:06.823000,0.03125,-0.015625,0.6640625
